RequestId,69bd9827620f00a58b1a07d2
X,HFCT
122205,14.31114006
122340,14.62290859
122475,14.42697525
122610,14.96682549
122745,12.68198967
122880,13.16627693
123015,13.51868534
123150,9.042791367
123285,11.39824867
123420,12.96082497
123555,12.46795368
123690,13.36956406
123825,12.31577492
123960,11.99302769
124095,7.571539402
124230,11.57396603
124365,13.34760952
124500,11.48987961
124635,10.70671749
124770,12.15357971
124905,10.38917828
125040,6.618113041
125175,10.49162483
125310,8.149900436
125445,8.136716843
125580,4.830764771
125715,7.799358368
125850,8.185243607
125985,10.40693569
126120,11.96845341
126255,12.35575771
126390,10.28442764
126525,12.80417156
126660,13.01303387
126795,9.24617672
126930,6.147865295
127065,9.578057289
127200,12.07314014
127335,6.885032177
127470,7.486114502
127605,8.937434196
127740,8.651025772
127875,10.04382324
128010,7.136946678
128145,4.163340092
128280,2.749755859
128415,9.195039749
128550,10.25885201
128685,6.675495148
128820,9.475849152
128955,7.752772331
129090,11.43984509
129225,7.76933527
129360,9.729709625
129495,6.865505695
129630,9.972772598
129765,12.55372524
129900,13.52923203
130035,12.53384399
130170,12.79649639
130305,12.32563877
130440,7.269947529
130575,8.430683136
130710,7.07503891
130845,9.786773682
130980,7.17309618
131115,7.347844601
131250,11.32599831
131385,9.021662712
131520,6.222856998
131655,8.329703331
131790,9.754441261
131925,12.33954525
132060,13.76025486
132195,9.926686287
132330,5.984035969
132465,4.581756115
132600,2.691587687
132735,3.448841572
132870,8.144431114
133005,5.087969303
133140,9.354914665
133275,12.16163826
133410,13.64063931
133545,14.27436543
133680,13.76186275
133815,14.17966557
133950,14.60301495
134085,8.977343559
134220,7.42766428
134355,4.737943172
134490,9.744315147
134625,7.732316017
134760,11.16571331
134895,6.511795044
135030,5.928953648
135165,9.841880798
135300,11.17074013
135435,12.15441322
135570,13.3848381
135705,9.608560562
135840,11.43701935
135975,12.38748837
136110,11.79695511
136245,12.34953499
136380,10.73424625
136515,7.11209774
136650,8.555836678
136785,11.28713894
136920,6.437044144
137055,10.43165779
137190,11.73709106
137325,11.22583771
137460,9.486855507
137595,12.10283566
137730,12.3253479
137865,13.39055729
138000,9.942749977
138135,10.21380424
138270,12.25447559
138405,10.23399067
138540,8.64905262
138675,10.97446823
138810,7.238146305
138945,8.80756855
139080,5.671515465
139215,3.352309942
139350,8.847434998
139485,8.282128334
139620,11.24681664
139755,6.414143562
139890,10.57235622
140025,12.62718296
140160,13.1334362
140295,13.18326664
140430,8.219472885
140565,5.75719738
140700,5.377236366
140835,3.319420576
140970,8.985764503
141105,8.253850937
141240,4.774708271
141375,9.221987724
141510,10.03317547
141645,11.71763515
141780,7.29574585
141915,10.78339291
142050,9.855323792
142185,7.268779278
142320,8.183804512
142455,10.45333385
142590,6.185692787
142725,8.03064537
142860,4.579815865
142995,9.167728424
143130,5.311855793
143265,9.716442108
143400,8.952385902
143535,11.50478268
143670,10.95544815
143805,6.816951752
143940,10.37856865
144075,12.12567806
144210,10.83885098
144345,8.850848198
144480,9.494994164
144615,11.67190456
144750,11.47882843
144885,12.5906992
145020,9.507080078
145155,8.780920982
145290,11.07143688
145425,6.859434128
145560,6.82954216
145695,8.017298698
145830,6.514482975
145965,7.687751293
146100,4.383945465
146235,6.173406601
146370,5.546941757
146505,3.322487354
146640,8.101201057
146775,7.592772007
146910,5.366678715
147045,8.366683006
147180,9.867405891
147315,9.249687195
147450,11.0639534
147585,6.995223522
147720,6.490450859
147855,9.476775169
147990,10.4799757
148125,7.391498566
148260,7.995386124
148395,7.150267601
148530,5.652132034
148665,6.908565521
148800,9.747819901
148935,6.664093494
149070,7.38997221
149205,7.314928532
149340,5.223295689
149475,7.048994541
149610,6.972021103
149745,9.413946152
149880,8.653044701
150015,10.40580559
150150,9.784349442
150285,8.33685112
150420,6.76002264
150555,3.892702341
150690,4.245126724
150825,6.098348618
150960,7.74597311
151095,4.952691555
151230,2.853791952
151365,3.952667713
151500,7.609071255
151635,9.58747673
151770,9.12726593
151905,6.112162113
152040,8.156258583
152175,7.207617283
152310,4.361157417
152445,4.618885517
152580,4.860066891
152715,7.928683281
152850,4.764588356
152985,4.030930519
153120,5.471270561
153255,6.388562679
153390,4.141013622
153525,5.930836678
153660,8.258365631
153795,4.730527401
153930,6.575375557
154065,5.558248997
154200,3.362214804
154335,4.596207142
154470,6.791064739
154605,5.120194912
154740,4.132663727
154875,7.065135479
155010,7.123243809
155145,7.842793465
155280,8.032348633
155415,8.702360153
155550,8.172560692
155685,8.953326225
155820,6.629267216
155955,7.186255455
156090,8.307351112
156225,8.854944229
156360,9.116241455
156495,5.197970867
156630,5.005762577
156765,3.047043324
156900,5.630740643
157035,5.409842968
157170,3.093027115
157305,2.455327749
157440,2.855663776
157575,2.972604036
157710,4.645074844
157845,5.186401844
157980,3.116896152
158115,5.450387001
158250,5.452294827
158385,6.459565163
158520,4.307554245
158655,3.768576145
158790,5.225297928
158925,3.724704266
159060,5.566971779
159195,3.237067699
159330,4.6482687
159465,4.560141563
159600,6.035618782
159735,6.390743732
159870,6.85061264
160005,7.045901775
160140,7.154448032
160275,7.103123188
160410,6.002677441
160545,5.679508209
160680,4.164418697
160815,5.553488731
160950,4.545114994
161085,3.362047911
161220,2.354343653
161355,4.386879444
161490,2.640348196
161625,4.617320538
161760,5.217596531
161895,4.610046864
162030,5.13437891
162165,5.300916195
162300,3.25930047
162435,4.627637386
162570,4.164885044
162705,2.926035881
162840,2.209357738
162975,3.485527277
163110,2.127944946
163245,4.085795879
163380,4.584603786
163515,3.632087469
163650,2.628954887
163785,3.280282974
163920,2.700264454
164055,3.240165472
164190,3.73372817
164325,3.27998662
164460,4.197457314
164595,3.448836088
164730,4.231156349
164865,4.439863205
165000,3.865037203
