feature,source,mean_ON,mean_OFF,cohen_d,abs_d,AUC,AUC_abs,MW_p,r_pointbiserial,KS_stat,KS_p,MW_p_BH,significant
slope_loglog_B2,new,-2.966855284461668,-1.8968238066725944,-0.6864216354811462,0.6864216354811462,0.30889057750759885,0.6911094224924011,4.79618207463498e-07,-0.30331007637288443,0.3292806484295846,4.264294405278201e-06,2.637900141049239e-06,True
lr B3 B4,original,-1.3918888297872343,-2.852308333333333,0.6654217682995127,0.6654217682995127,0.6809777102330294,0.6809777102330294,1.8662803092151092e-06,0.294849126712002,0.3505572441742654,7.301447843018415e-07,7.983532433864634e-06,True
slope_loglog_B3,new,-1.0186310063664463,-0.20631602219507197,-0.6422360453575746,0.6422360453575746,0.34276849037487334,0.6572315096251267,3.44716136231198e-05,-0.2854263163412144,0.2801418439716312,0.00016021378378255755,9.152807755104223e-05,True
lr B1 B4,original,6.623515957446808,4.160573809523809,0.609074564900226,0.609074564900226,0.705135511651469,0.705135511651469,6.521957479762749e-08,0.2718046325191461,0.40906788247213777,3.0516010065898746e-09,3.863005584167167e-07,True
band gradient,original,-2.207696808510638,-1.3867392857142855,-0.60898607900611,0.60898607900611,0.29457953394123604,0.705420466058764,6.251454974243897e-08,-0.2717680616238487,0.40906788247213777,3.0516010065898746e-09,3.863005584167167e-07,True
band gradient proper,original,-2.207696808510638,-1.386740476190476,-0.6089851696973158,0.6089851696973158,0.29457953394123604,0.705420466058764,6.251454974243897e-08,-0.2717676858036212,0.40906788247213777,3.0516010065898746e-09,3.863005584167167e-07,True
peak_ratio_B2,new,24.370557178209484,41.12434289203721,-0.5999673966178368,0.5999673966178368,0.42508865248226946,0.5749113475177305,0.04851358466524001,-0.2680345155927662,0.2256838905775076,0.0043683525242473615,0.06631027230666808,False
flatness_B1,new,0.542220410002151,0.40567562431656257,0.5913866513536217,0.5913866513536217,0.6522922998986829,0.6522922998986829,6.031283570286665e-05,0.26447101749740454,0.3482776089159068,8.908811680236513e-07,0.00015480294497069105,True
ssn_B3,new,-0.06845278871744341,-0.017193585800295605,-0.5845500489091505,0.5845500489091505,0.3584093211752787,0.6415906788247213,0.00019176127990706506,-0.26162406224939133,0.2444275582573455,0.0015216566073881074,0.00040438825605633525,True
slope_loglog_B1,new,-1.1178387438524409,-1.7513798528563636,0.5659976313953035,0.5659976313953035,0.6296225937183384,0.6296225937183384,0.0006394404367499835,0.25386396862924915,0.22188449848024316,0.00535351447318879,0.0012309228407437183,True
rolloff_norm_B2,new,0.2914627659574468,0.4260833333333333,-0.5477112708211412,0.5477112708211412,0.309903748733536,0.690096251266464,5.509486781675257e-07,-0.2461668799613092,0.41084093211752787,2.576370405618352e-09,2.7221660717534466e-06,True
curvature_B1,new,-0.7533610028612973,-1.330130942536281,0.5248077308991655,0.5248077308991655,0.6414640324214792,0.6414640324214792,0.00019431643472836888,0.23646036228285766,0.3477710233029382,9.260934681521634e-07,0.00040438825605633525,True
crest_B2,new,4.7082514704949565,5.743537972634725,-0.5134801227395401,0.5134801227395401,0.42508865248226946,0.5749113475177305,0.04851358466524001,-0.23163322638642098,0.2256838905775076,0.0043683525242473615,0.06631027230666808,False
band range,original,9.0081585106383,7.276994047619047,0.4979063588209633,0.4979063588209633,0.6472581053698074,0.6472581053698074,0.00010490123328538331,0.22496866290083326,0.2905268490374873,7.838907218325208e-05,0.00024476954433256105,True
entropy_B3,new,0.797224838373678,0.8801268675090311,-0.4958171671930457,0.4958171671930457,0.36936423505572447,0.6306357649442755,0.0005795616611124535,-0.22407219449536486,0.28419452887537994,0.00012161264514434231,0.0011442627668117674,True
trans_B2_B3,new,-0.02888989996195111,0.291117597523696,-0.4836350692619602,0.4836350692619602,0.3822821681864235,0.6177178318135765,0.0019309200919980778,-0.21883359999475366,0.22441742654508612,0.004676707748366449,0.0033040188240856,True
slope_r2_B2,new,0.6360680845922414,0.49912418640890654,0.4824949760611167,0.4824949760611167,0.647289766970618,0.647289766970618,0.00010454958696916336,0.21834235515433303,0.3295339412360689,4.183665773353587e-06,0.00024476954433256105,True
spectral flatness,original,0.031623404255319155,0.05725119047619048,-0.4821921626751539,0.4821921626751539,0.35783941236068895,0.642160587639311,0.00014140195464708687,-0.21821185091596365,0.2786220871327254,0.0001774390863960233,0.00032023383846546146,True
flatness_B3,new,0.3524324237608066,0.4798394609751714,-0.4731186399753418,0.4731186399753418,0.35657294832826747,0.6434270516717325,0.00015808464339827738,-0.21429599627513912,0.2429078014184397,0.0016626120755632232,0.0003477862154762102,True
ssn_B2,new,-0.20687498960176856,-0.15485253936652663,-0.4423272468098076,0.4423272468098076,0.39703647416413373,0.6029635258358663,0.006689327933858101,-0.20093106636685626,0.21808510638297873,0.00653637015099719,0.010099573547197526,True
cv_B3,new,3.2081955798646034,1.965587593048109,0.42351620418666003,0.42351620418666003,0.6131585612968592,0.6131585612968592,0.002877459035132183,0.19271009844633005,0.2502532928064843,0.0010761192501053483,0.004615923868857877,True
energy_concentration,new,0.7398901588588005,0.7877364745865681,-0.39513262780400077,0.39513262780400077,0.39475683890577506,0.6052431610942249,0.005571503000452307,-0.18022894774714288,0.17654508611955422,0.046221562087847584,0.008755219000710768,True
entropy_B1,new,0.9159620871132553,0.8925640070126862,0.3951013615821387,0.3951013615821387,0.6141717325227963,0.6141717325227963,0.002636421078203984,0.1802151498520056,0.2619047619047619,0.0005261095672391792,0.004319243043015038,True
flatness_B2,new,0.17192316339994707,0.24246110489322745,-0.3794799580215871,0.3794799580215871,0.3215552178318136,0.6784447821681864,2.5937414389541703e-06,-0.17330813570113174,0.3487841945288754,8.521663447427371e-07,9.078095036339597e-06,True
trans_B3_B4,new,3.1837470576528237,3.5179024671040913,-0.3614662757340232,0.3614662757340232,0.3968465045592705,0.6031534954407295,0.006589000132445408,-0.16531156764017682,0.2079533941236069,0.010942999088247727,0.010099573547197526,True
peak_ratio_B3,new,46.87610724969899,26.3203996221456,0.3415708669937509,0.3415708669937509,0.5433763931104356,0.5433763931104356,0.25345569323156336,0.1564416832006684,0.12613981762917933,0.2844604523807072,0.3147756190133932,False
entropy_B2,new,0.778709853433504,0.8117997412769166,-0.33737108429101986,0.33737108429101986,0.3837386018237082,0.6162613981762918,0.002196547134297581,-0.15456438798404726,0.23961499493414387,0.002009688083031915,0.003676828898715516,True
