site,spectrum_id,running_state,label_source,ssn_B1,lr_B2_B4,spectral_spread,rolloff_norm_B3,curvature_B2,flat_fraction,flat_override,vote_ssn_B1,vote_lr_B2_B4,vote_spectral_spread,vote_rolloff_norm_B3,vote_curvature_B2,total_votes,weighted_score,weighted_score_norm,prediction
SQN2,SQN NG Unit 2 20250528_0552,ON,cluster,0.0029934703553529,5.24,231.05,0.244,-0.2929870835057846,0.186,0,1.0,1.0,1.0,1.0,0.0,4.0,3.333,0.8225567620927937,ON
SQN2,SQN NG Unit 2 20250527_1635,ON,cluster,-0.0280784527642411,5.66,229.52,0.236,-1.6986627242840335,0.1295,0,1.0,1.0,1.0,1.0,0.0,4.0,3.333,0.8225567620927937,ON
SQN2,SQN NG Unit 2 20250528_1200,ON,cluster,-0.0321088317473651,7.79,231.67,0.232,-4.27621205801417,0.193,0,1.0,1.0,1.0,1.0,0.0,4.0,3.333,0.8225567620927937,ON
SQN2,SQN NG Unit 2 20250528_1059,ON,cluster,-0.057565254902404,7.94,194.35,0.244,-3.7526235753530734,0.1485,0,1.0,1.0,1.0,1.0,0.0,4.0,3.333,0.8225567620927937,ON
NC2,20250225_2304,ON,manual,-0.006218146981459,7.71,184.69,0.146,-2.722512205244836,0.0,0,1.0,1.0,1.0,1.0,0.0,4.0,3.333,0.8225567620927937,ON
NC2,20250225_1344,ON,cluster,0.022638232024671,8.05,173.66,0.094,-1.476999738249784,0.0,0,1.0,1.0,1.0,1.0,0.0,4.0,3.333,0.8225567620927937,ON
NC2,20250225_1029,ON,cluster,0.0235420401277136,8.11,170.87,0.128,-2.579334981899622,0.0,0,1.0,1.0,1.0,1.0,0.0,4.0,3.333,0.8225567620927937,ON
NC2,20250225_1237,ON,cluster,0.0222549721714587,8.16,174.94,0.098,-1.6937076275845584,0.0,0,1.0,1.0,1.0,1.0,0.0,4.0,3.333,0.8225567620927937,ON
NC2,20250226_0205,ON,cluster,-0.0486889844644978,7.7,174.09,0.138,-2.637686639467649,0.0,0,1.0,1.0,1.0,1.0,0.0,4.0,3.333,0.8225567620927937,ON
NC2,20250226_0105,ON,cluster,-0.0483767822093007,8.06,203.44,0.102,-2.0400528293655684,0.0,0,1.0,1.0,1.0,1.0,0.0,4.0,3.333,0.8225567620927937,ON
Harq_ST1_PT,HARQST-1 EMI PT_20250220_1444 – HARQST-1 EMI - PT HFCT,OFF,cluster,-0.0742753959429317,1.1063,303.1044,0.911,-0.6787948872407948,0.11275,0,1.0,0.0,1.0,0.0,0.0,2.0,1.756,0.4333662388943732,ON
Harq_ST1_PT,HARQST-1 EMI PT_20250307_1027 – HARQST-1 EMI - PT HFCT,ON,cluster,-0.0781663573705121,3.7361,501.5214,0.507,0.8637327685716516,0.024875,0,0.0,1.0,1.0,1.0,1.0,4.0,3.107,0.766781836130306,ON
Harq_ST1_PT,HARQST-1 EMI PT_20250511_1129 – HARQST-1 EMI - PT HFCT,ON,cluster,-0.0830899058455051,3.5983,501.7326,0.7555,0.4939760937806462,0.00925,0,0.0,1.0,1.0,0.0,1.0,3.0,2.369,0.5846495557749259,ON
Harq_ST1_PT,HARQST-1 EMI PT_20250525_1140 – HARQST-1 EMI - PT HFCT,OFF,cluster,-0.108378115070759,1.5598,311.1611,0.896,-1.3530594923792274,0.113375,0,0.0,0.0,1.0,0.0,0.0,1.0,0.811,0.2001480750246792,OFF
Harq_ST1_PT,HARQST-1 EMI PT_20250629_1938 – HARQST-1 EMI - PT HFCT,ON,cluster,-0.0881983458903929,3.702,494.532,0.7205,0.4816079651628895,0.00375,0,0.0,1.0,1.0,1.0,1.0,4.0,3.107,0.766781836130306,ON
Harq_ST1_PT,HARQST-1 EMI PT_20250817_1151 – HARQST-1 EMI - PT HFCT,ON,cluster,-0.0989782869246964,3.3643,476.3513,0.5985,0.2424487075268213,0.0105,0,0.0,0.0,1.0,1.0,1.0,3.0,2.268,0.5597235932872655,ON
Harq_ST1_PT,HARQST-1 EMI PT_20250927_1934 – HARQST-1 EMI - PT HFCT,ON,cluster,-0.082088329360769,3.4561,513.4674,0.7525,0.455248451409853,0.009,0,0.0,1.0,1.0,0.0,1.0,3.0,2.369,0.5846495557749259,ON
Harq_ST1_PT,HARQST-1 EMI PT_20251011_1911 – HARQST-1 EMI - PT HFCT,ON,cluster,-0.0777922613159722,3.6628,509.9467,0.7615,0.4034800154579683,0.0,0,0.0,1.0,1.0,0.0,1.0,3.0,2.369,0.5846495557749259,ON
Harq_ST1_PT,HARQST-1 EMI PT_20251020_1922 – HARQST-1 EMI - PT HFCT,ON,cluster,-0.0813596671185234,3.8421,502.4682,0.769,0.7331713325652921,0.0,0,0.0,1.0,1.0,0.0,1.0,3.0,2.369,0.5846495557749259,ON
Harq_ST1_PT,HARQST-1 EMI PT_20251118_1034 – HARQST-1 EMI - PT HFCT,OFF,cluster,-0.1024611036727067,2.7277,303.7233,0.8285,-1.0465802982217467,0.1225,0,0.0,0.0,1.0,0.0,0.0,1.0,0.811,0.2001480750246792,OFF
Harq_ST2_PT,HARQST-2 EMI PT_20250402_1539 – HARQST-2 EMI - PT HFCT,OFF,cluster,-0.0268564463987522,4.6737,687.4458,0.128,-1.804886473918847,0.04475,0,1.0,1.0,0.0,1.0,0.0,3.0,2.522,0.6224086870681145,ON
