site,spectrum id,running state,y,ssn_B1,lr B2 B4,slope_diff_B1_B2,rolloff_norm_B3,spectral spread,spectral slope norm,curvature_B2,lr B3 B4,slope_loglog_B3,flatness_B1,rolloff_norm_B2,curvature_B1,band range,entropy_B3,trans_B2_B3,slope_r2_B2,energy_concentration,trans_B3_B4,entropy_B2,rolloff_norm_B4,crest_B1,crest factor,spectral centroid,B4 B1 ratio,B3 B2 ratio,_old_total,score_weighted,score_unweighted,pred_weighted,pred_unweighted
Towantic_GT2,20250103_0833 GT2,ON,1,-0.08267335052497023,-4.3,1.7836707977485788,0.846,2198.72,0.0004,0.24840925061028843,-4.03,0.022069541783962233,0.4301469100475829,0.8845,-1.9228572978975336,4.3,0.9998612869250595,0.026714632435229646,0.22269288320700908,0.35145828495894504,4.0291958205312035,0.9986162255033377,0.8505,2.0126129619008717,1.94,6137.26,6.73,1.31,0.0,0.24031744787506992,0.23999999999904,0,0
EMSA_GT2_NG,20250103_0833 NG,ON,1,-0.08267335052497023,-4.3,1.7836707977485788,0.846,2198.72,0.0004,0.24840925061028843,-4.03,0.022069541783962233,0.4301469100475829,0.8845,-1.9228572978975336,4.3,0.9998612869250595,0.026714632435229646,0.22269288320700908,0.35145828495894504,4.0291958205312035,0.9986162255033377,0.8505,2.0126129619008717,1.94,6137.26,6.73,1.31,0.0,0.24031744787506992,0.23999999999904,0,0
SQN2,SQN NG Unit 2 20250528_1504,OFF,0,-0.3453936850327456,-2.71,4.886234790426,0.766,688.64,0.0001,-0.18129631120681494,-0.16,1.923681752002045,0.14644702966365641,0.78,-1.6837147713261174,2.71,0.7592726584925075,0.9852208854676237,0.38923742744509915,0.7541256555381283,2.4247857666763886,0.8870355758701604,0.544,3.8020057125850073,5.37,996.92,0.99,12.83,1.0,0.2016815840404776,0.1999999999992,0,0
Harq_ST3,HARQST-3 EMI Gen_20250425_1147,OFF,0,-0.2851509633803815,-2.64,4.044363850752612,0.9785,2634.82,0.0001,-0.8532684762828477,-4.02,0.1413050858972016,0.1674490349806323,0.513,-1.4880025103711798,4.02,0.9017554415605062,-0.40601162035142613,0.06383433259475502,0.7811862205598132,4.934229315652606,0.6482857087470341,0.606,3.9060929532634567,8.08,4890.44,3.15,0.25,0.0,0.062886459627308,0.07999999999968001,0,0
Harq_ST3,HARQST-3 EMI Gen_20251118_1432 ,OFF,0,-0.3049801252812156,-3.27,4.267358960433654,0.981,2731.57,0.0001,-0.5964858137776823,-4.02,-0.11239203814102967,0.15485759692967047,0.61,-1.634159835585441,4.02,0.8939815068514693,-0.4006290932987141,0.10731281914347746,0.7861181660319665,5.140539918161883,0.7276528158842965,0.5925,3.740573473921176,9.37,4599.1,2.5,0.47,0.0,0.062886459627308,0.07999999999968001,0,0
Harq_ST3,HARQST-3 EMI Gen_20250404_1915,OFF,0,-0.29942964850133746,-1.84,4.1121934987515,0.932,3015.54,0.0,-0.8748049072006437,-3.4,-0.007966508955516144,0.1561683866139486,0.513,-1.4012933021395522,3.4,0.9155326655846331,-0.3235208270195269,0.059698328512387655,0.7198106688755673,3.990653019242101,0.6491929520988288,0.605,3.6634269159143953,4.98,3758.1,1.27,0.21,0.0,0.11459116711985758,0.15999999999936002,0,0
Harq_ST3,HARQST-3 EMI Gen_20250530_1544,ON,1,-0.21362339083551318,-3.2,1.5955934470885667,0.97,3205.06,0.0,-0.6720505738001169,-3.93,0.39401502293011226,0.18773507228266936,0.513,-0.9003498431349022,3.93,0.9350103987067936,-0.38006434374706627,0.21315062970437348,0.7610678602386219,3.5685410510587863,0.8105603815334192,0.6565,7.753138137709879,9.7,4173.96,1.47,0.48,0.0,0.10750941281332874,0.11999999999952,0,0
Harq_ST3,HARQST-3 EMI Gen_20251019_1117 – HARQST-3 EMI - GEN HFCT,ON,1,-0.20124662072697577,-2.83,1.4665895938474718,0.265,3061.35,0.0,-0.0640332999525684,-2.23,-1.4222826397333714,0.2319620067464035,0.509,-0.8847773385198506,2.83,0.7951791678165118,0.7120150529780345,0.2493780553903001,0.7097331103993186,4.07222269062566,0.8162348335190013,0.656,5.137825482422577,5.98,4389.91,1.68,1.82,1.0,0.21452165083885213,0.1999999999992,0,0
Harq_ST3,HARQST-3 EMI Gen_20250927_1547,ON,1,-0.20343469395290514,-2.88,1.5142098733307483,0.2685,3050.13,0.0,-0.20242025871996222,-2.14,-1.4535851392825958,0.22952781591225996,0.509,-0.7328747274672587,2.88,0.7707562356430451,0.6639446976069274,0.2497816058644461,0.7426231199825136,3.682856717299356,0.8225478247562014,0.6485,7.265562562590546,8.07,4594.02,1.91,2.09,1.0,0.21452165083885213,0.1999999999992,0,0
HARQST3,HARQST3_off_2025-06-21,OFF,0,-0.2343434303774236,-2.8,3.0167577493944946,0.944,2992.95,0.0,-0.28466643570662986,-3.62,-0.08510506041417884,0.27328137552489523,0.551,-0.8944974029136803,3.62,0.9056072660226707,-0.19035252875766084,0.025918864462780133,0.7197909421149378,4.373529463888873,0.7223053010186257,0.603,3.599859223132862,5.09,3996.29,1.47,0.44,0.0,0.15478976982029372,0.1999999999992,0,0
Harq_ST3,HARQST-3 EMI Gen_20250713_1931,ON,1,-0.22134108984300077,-3.32,1.8078337637656396,0.656,3041.38,0.0,-0.16970235096074612,-2.78,-0.840351508613122,0.09097623774750879,0.511,-0.8976432161279126,4.12,0.8402695369921556,0.6583070473271335,0.2666507642211733,0.8332964276074729,3.5219462571608315,0.8332617394836807,0.653,9.853322194292785,16.14,2322.22,0.45,1.71,0.0,0.13506251048881612,0.11999999999952,0,0
HARQST3,HARQST3_on_2025-06-17,ON,1,-0.20593666524878668,-3.42,1.6440460062970401,0.2935,3284.7,-0.0001,-0.11746350921483985,-2.89,-1.3103071716372474,0.1281071807814514,0.512,-0.9195570574112958,3.81,0.8502104249739401,0.20486742827562088,0.22002948171909964,0.8318059908975384,3.9937121465018723,0.8288447795281272,0.646,9.012427970581125,13.7,3029.41,0.67,1.69,0.0,0.14627773077738754,0.11999999999952,0,0
Harq_ST3,HARQST-3 EMI Gen_20250616_1111,ON,1,-0.20832080427590685,-2.91,1.634140565782241,0.493,3118.45,-0.0001,-0.29366622590002195,-2.67,-1.1819375385276694,0.14471713543268153,0.5115,-0.9804394394810031,3.51,0.8643412489581759,0.25116644758532636,0.20918946181094245,0.7881418150956965,4.044572840881332,0.8215949693585547,0.6475,8.50231148941809,13.36,2693.38,0.55,1.28,0.0,0.14627773077738754,0.11999999999952,0,0
Harq_ST3,HARQST-3 EMI Gen_20250402_1158,OFF,0,-0.30367168444593245,-1.13,4.098391847300177,0.8995,2805.05,-0.0001,-0.845495946985596,-2.79,-0.3820084109536169,0.15989419144438508,0.513,-1.462551767012101,3.24,0.9073946207154097,-0.33469619158099895,0.06365942941640734,0.76796761043168,4.798450061860612,0.6499065542208591,0.5925,3.365592808405782,6.61,2754.52,0.64,0.19,0.0,0.09315236194520692,0.11999999999952,0,0
Van_GT4,20250815_1248,OFF,0,-0.0671482022409038,-4.15,-2.065705859852763,0.798,2389.93,-0.0001,-1.797393251870226,-5.62,1.648379456522857,0.8017117446652879,0.4485,-0.17898082064196624,5.62,0.8609704186487983,0.13260724129627643,0.6977666424727523,0.7315443435356352,4.56728158295341,0.8848889236674078,0.5535,2.5125137219870326,7.21,5297.53,3.88,0.23,0.0,0.23927444218664592,0.1999999999992,0,0
Van_GT4,20250731_1620,OFF,0,-0.05306300397021236,-4.0,-2.2612508689568513,0.7915,2476.88,-0.0001,-1.643523111567657,-4.65,2.096753928157545,0.7869395300157092,0.453,0.13364180560870595,4.65,0.8630433086031016,0.24119159688044445,0.6791082989521782,0.7517858507918906,4.218573420712336,0.8780337883718421,0.5745,2.3650854244233854,5.8,5270.54,3.4,0.53,0.0,0.2641295745910211,0.23999999999904,0,0
